RecordID_Int,ParcelNumber,StreetNumber,StreetName,Unit,UseCode,Style,Grade,Roof,Flooring,Heating,Fireplace,YearBuilt,TotalRooms,Bedrooms,HalfBathrooms,FullBathrooms,BasementGarage,Basement,FinishedBasement,BasementType,ExternalWalls,NumberOfStories,SquareFootageFinishedLiving
22,010026000,1852,WESTVIEW RD,,Single Family,1 Story,C,Shingles,Tile,Forced Air,0,1951,3,1,0,1,0,,,No data,Wood,1.00,544
23,010026000,1852,WESTVIEW RD,,Single Family,1 Story,B +,Shingles,Hardwood,Hot Water Radiator,1,1951,8,4,0,3,0,450,,Partial Basement,Wood,1.00,2900
24,010027000,1863,FIELD RD,,Single Family,1 Sty No Bsmt,B +,Architectural Shingles,Hardwood,Forced Air,2,1953,7,3,1,3,0,,,No Basement,Brick Veneer,1.00,2321
25,010028000,1865,FIELD RD,,Single Family,1 Sty No Bsmt,B +,Shingles,W/W Carpet,Forced Air,2,1953,7,3,1,2,0,,,No Basement,Vinyl,1.00,2621
26,010029000,1867,FIELD RD,,Single Family,1.5 Sty (Avg),B++,Architectural Shingles,Hardwood,Hot Water Radiator,1,1953,7,3,0,3,0,,,No Basement,Wood,1.50,3461
27,010030000,1869,FIELD RD,,Single Family,1.5 Sty (Avg),B +,Architectural Shingles,Hardwood,Forced Air,1,1953,6,3,0,3,0,434,,Cellar,Brick Veneer,1.5,3142
28,010030100,1871,FIELD RD,,Single Family,1 Story,B +,Architectural Shingles,Hardwood,Forced Air,1,1954,7,3,0,2,0,1372,,Partial Basement,Brick Veneer,1.00,1984
29,010031000,1873,FIELD RD,,Single Family,1 Sty No Bsmt,B,Shingles,Hardwood,Hot Water Radiator,2,1952,11,4,1,2,0,,,No Basement,Brick Veneer,1.00,2574
30,010032000,1877,FIELD RD,,Single Family,1 Sty w/ Bsmt,B +,Architectural Shingles,Hardwood,Hot Water Radiator,2,1952,12,7,1,4,0,2230,985,Partial Basement,Brick Veneer,1.00,2935
31,010033000,1884,FIELD RD,,Single Family-1 Conversion,1 Sty (Avg),B,Shingles,Hardwood,Forced Air,1,1954,3,4,No dat,3,0,1368,989,Full Basement,Brick Veneer,1.00,1368
32,010034000,1882,FIELD RD,,Single Family,1.5 Sty (Avg),B++,Architectural Shingles,Hardwood,Forced Air,1,1952,12,5,1,4,0,1472,1278,Walkout Basement,Brick Veneer,1.00,2956
33,010035000,1874,FIELD RD,,Single Family,1.5 Story,B,Shingles,Hardwood,Forced Air,2,1953,6,3,1,2,0,1141,519,Full Basement,Wood,1.50,1560
34,010036000,1872,FIELD RD,,Single Family,1.5 Sty (Avg),B,Architectural Shingles,Hardwood,Heat Pump,1,1958,9,4,1,3,0,1550,1496,Partial Basement,Brick Veneer,1.00,2497
35,010037000,1870,FIELD RD,,Single Family,1.5 Sty (Avg),B,Shingles,Hardwood,Forced Air,1,1953,8,3,1,3,0,1780,710,Partial Basement,Brick Veneer,1.50,2840
36,010038000,1868,FIELD RD,,Single Family,Split-Level Exc,B++,Architectural Shingles,Hardwood,Heat Pump,4,1952,10,4,1,4,0,2160,990,Walkout Basement,Hardy Board,2.0,3480
37,010039000,1866,FIELD RD,,Single Family,1 Sty w/ Bsmt,B,Shingles,Hardwood,Forced Air,1,1953,10,4,0,3,0,1640,1139,Partial Basement,Brick Veneer,1.00,1810
38,010040000,1864,FIELD RD,,Single Family,1 Sty w/ Bsmt,B +,Architectural Shingles,Hardwood,Forced Air,1,1953,6,4,0,3,0,1584,1584,Full Basement,Brick Veneer,1.00,1596
39,010041000,906,FENDALL TER,,Single Family,1 Sty (Avg),B++,Architectural Shingles,Hardwood,Hot Water Radiator,1,2005,10,3,2,3,0,2971,2651,Partial Basement,Hardy Board,1.00,3992
40,010042000,1859,WINSTON RD,,Single Family,2 Story,B,Shingles,Hardwood,Hot Water Radiator,1,1948,10,4,0,3,0,1750,290,Full Basement,Brick Veneer,2.00,2831
41,010043000,1861,WINSTON RD,,Single Family,1 Sty Excellent,B++,Metal,Hardwood,Forced Air,2,1954,9,3,0,3,0,1231,1231,Walkout Basement,Hardy Board,1.00,1350
42,010044000,1863,WINSTON RD,,Single Family,2 Sty Excellent,B++,Architectural Shingles,Hardwood,Hot Water Radiator,2,1945,8,5,1,3,0,1684,1111,Partial Basement,Wood,2.00,3548
43,010045000,1867,WINSTON RD,,Single Family,2 Sty Excellent,B,Shingles,Hardwood,Forced Air,1,1936,10,5,1,2,0,694,,Partial Basement,Wood,2.00,2828
44,010046000,901,FENDALL TER,,Single Family,2 Story,A,Architectural Shingles,Hardwood,Hot Water Radiator,2,1939,8,3,1,3,0,1836,818,Full Basement,Brick Veneer,2.00,3552
45,010047000,905,FENDALL TER,,Single Family,2 Story w/ Bsmt,B++,Architectural Shingles,Hardwood,Hot Water Radiator,3,1946,11,4,1,3,1,2138,2138,Partial Basement,Hardy Board,2.0,3949
46,010048100,904,EMMET ST N,,Vacant Land,,,,,,,,,,,,,0,0,,,,
47,010049000,900,EMMET ST N,,Vacant Land,,,,,,,,,,,,,0,0,,,,
48,010049100,902,EMMET ST N,,Vacant Land,,,,,,,,,,,,,0,0,,,,
49,020001000,1916,BARRACKS RD,,Vacant Land,,,,,,,,,,,,,0,0,,,,
50,020002000,1914,BARRACKS RD,,Vacant Land,No Style,C,N/A,None,Not Applicable,0,0,0,0,0,0,0,,,N/A,Not Applicable,0,600
51,020002000,1914,BARRACKS RD,,Vacant Land,,,,,,,,,,,,,0,0,,,,
52,020003000,1910,BARRACKS RD,,Single Family,2 Story,A -,Slate,Hardwood,Forced Air,2,1932,8,3,1,3,0,1271,1080,Partial Basement,Brick Veneer,2.00,3052
53,020003000,1910,BARRACKS RD,,Single Family,1 Story,C -,Shingles,Hardwood,Baseboard,0,1933,2,0,0,1,0,,,No Basement,Stone,1.00,308
54,020004000,120,BUCKINGHAM RD,,Single Family,1 Story,B -,Shingles,Hardwood,Forced Air,1,1954,7,3,0,3,0,1377,1154,Full Basement,Wood,1.00,1377
55,020005000,128,BUCKINGHAM RD,,Single Family,2 Story,A -,Architectural Shingles,Hardwood,Hot Water Radiator,2,1954,10,4,0,3,1,1244,923,Partial Basement,Brick Veneer,2.00,3100
56,020006000,108,BUCKINGHAM RD,,Single Family,1 Story,B,Shingles,Hardwood,Forced Air,2,1956,10,3,0,3,0,1766,1327,Full Basement,Brick Veneer,1.00,2208
57,020006100,110,BUCKINGHAM RD,,Single Family-1 Conversion,Split-Level,C++,Architectural Shingles,Hardwood,Forced Air,2,1956,11,5,0,4,0,1288,882,Walkout Basement,Brick Veneer,2.00,1840
58,020006200,114,BUCKINGHAM RD,,Single Family,Split-Level,B -,Shingles,Hardwood,Forced Air,2,1957,8,4,0,3,0,1200,1200,Full Basement,Brick Veneer,2.00,1200
59,020006300,118,BUCKINGHAM RD,,Single Family,1.5 Story,B +,Architectural Shingles,Hardwood,Heat Pump,3,1954,8,4,1,2,0,1247,1047,Full Basement,Brick Veneer,1.66,2070
60,020007000,104,BUCKINGHAM RD,,Single Family-1 Conversion,1.5 Sty (Avg),B++,Architectural Shingles,Hardwood,Forced Air,2,1956,8,3,0,3,0,1746,1150,Full Basement,Brick Veneer,1.50,2571
61,020008000,1820,BARRACKS RD,,Single Family-1 Conversion,1 Sty (Avg),C +,Metal,Hardwood,Forced Air,2,1953,5,5,0,2,0,1069,1035,Full Basement,Stucco,1.25,1259
62,020009000,1812,BARRACKS RD,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,1,1957,6,3,0,3,0,1170,1050,Full Basement,Brick Veneer,1.00,1170
63,020010000,116,HOWARD DR,,Single Family-2 Conversion,1 Sty (Avg),C,Shingles,Hardwood,Hot Water Radiator,2,1951,7,6,0,4,0,1412,1273,Walkout Basement,Brick Veneer,1.00,1728
64,020012000,112,HOWARD DR,,Single Family-1 Conversion,1 Sty (Avg),C,Architectural Shingles,Hardwood,Hot Water Radiator,2,1950,8,4,0,3,0,1435,718,Full Basement,Stucco,1.00,1435
65,020013000,110,HOWARD DR,,Single Family-1 Conversion,1 Sty (Avg),C,Shingles,Hardwood,Forced Air,2,1952,12,5,1,2,0,1195,825,Walkout Basement,Stucco,1.25,1344
66,020014000,1808,BARRACKS RD,,Single Family-1 Conversion,1.5 Story,B,Shingles,Hardwood,Forced Air,1,1955,6,3,1,3,0,852,583,Full Basement,Brick Veneer,1.50,1278
67,020015000,1806,BARRACKS RD,,Single Family-1 Conversion,1 Story,C++,Shingles,Hardwood,Forced Air,2,1952,10,4,0,3,0,1384,1384,Partial Basement,Brick Veneer,1.00,1527
68,020016000,1800,BARRACKS RD,,Single Family,2 Story,B +,Shingles,W/W Carpet,Heat Pump,1,1979,8,3,1,2,0,,,No Basement,Wood,2.00,2382
69,020016100,1107,RUGBY RD,,Single Family,2 Sty No Bsmt,B -,Architectural Shingles,Hardwood,Heat Pump,1,1979,7,3,1,2,0,,,No Basement,Wood,2.00,1755
70,020016200,1109,RUGBY RD,,Single Family,2 Story,C++,Shingles,Hardwood,Forced Air,No dat,2014,9,3,1,2,No dat,,,No Basement,Hardy Board,2.0,2074
71,020017000,1105,RUGBY RD,,Single Family,1.5 Story,B++,Shingles,Hardwood,Hot Water Radiator,1,1951,7,4,0,2,0,988,494,Partial Basement,Brick Veneer,1.50,1860
72,020019000,1101,RUGBY RD,,Single Family,2 Sty Excellent,A -,Slate,Hardwood,Hot Water Radiator,1,1925,10,5,1,4,0,952,,Cellar,Wood,2.00,4888
73,020019100,947,ROSSER LN,,Single Family,2 Story,B +,Metal,Hardwood,Forced Air,1,1990,9,4,0,3,0,961,496,Partial Basement,Stucco,2.00,2818
74,020020000,945,ROSSER LN,,Single Family,1.5 Story,A -,Architectural Shingles,Hardwood,Forced Air,1,1952,10,5,1,3,0,510,299,Partial Basement,Brick Veneer,1.00,3701
75,020021000,941,ROSSER LN,,Single Family,2 Story w/ Bsmt,B +,Architectural Shingles,Hardwood,Heat Pump,2,1971,8,4,1,2,2,1240,500,Partial Basement,Brick Veneer,2.00,2800
76,020022000,939,ROSSER LN,,Single Family,2 Sty Excellent,A,Shingles,Hardwood,Forced Air,2,1969,7,3,1,2,1,1133,768,Partial Basement,Brick Veneer,2.00,2362
77,020023000,1801,WESTVIEW RD,,Single Family,2 Sty Excellent,A +,Copper,Hardwood,Forced Air,3,1953,9,4,2,5,0,720,,Partial Basement,Brick Veneer,2.00,3756
78,020023100,1829,WESTVIEW RD,,Single Family,1.5 Story,A,Slate,Hardwood,Forced Air,2,1964,9,3,2,3,1,1910,860,Walkout Basement,Brick Veneer,1.50,3630
79,020023A00,921,ROSSER LN,,Single Family,1.5 Story,B++,Architectural Shingles,Hardwood,Forced Air,1,2000,8,3,1,2,1,864,200,Partial Basement,Board & Batten,1.66,2492
80,020024000,1833,WESTVIEW RD,,Single Family,2 Sty Excellent,A,Slate,Hardwood,Hot Water Radiator,6,1940,13,6,1,3,0,919,850,Partial Basement,Brick Veneer,2.00,3706
81,020025000,1839,WESTVIEW RD,,Single Family,2 Sty Superior,A -,Architectural Shingles,Hardwood,Heat Pump,2,1939,12,4,1,3,0,1307,876,Partial Basement,Brick Veneer,2.00,3921
82,020025A00,0,WESTVIEW RD,,Vacant Land,,,,,,,,,,,,,0,0,,,,
83,020026000,1861,WESTVIEW RD,,Single Family,2 Sty Superior,A +,Slate,Hardwood,Forced Air,2,1940,12,3,1,2,0,1515,938,Walkout Basement,Brick Veneer,2.00,2926
84,020027000,1848,WESTVIEW RD,,Single Family,1.5 Story,B,Shingles,Hardwood,Hot Water Radiator,2,1950,9,3,0,4,0,765,765,Full Basement,Brick Veneer,1.00,3389
85,020028000,1844,WESTVIEW RD,,Single Family,1 Sty Excellent,B +,Architectural Shingles,Hardwood,Forced Air,2,1951,10,4,0,4,0,752,,Cellar,Brick Veneer,1.25,2518
86,020029000,1834,WESTVIEW RD,,Single Family,1.5 Story,B,Architectural Shingles,Hardwood,Hot Water Radiator,2,1951,9,5,2,3,0,360,,Cellar,Brick Veneer,1.50,3454
87,020031000,1859,FIELD RD,,Single Family,2 Sty Excellent,B +,Architectural Shingles,Hardwood,Forced Air,1,1953,10,5,0,7,0,1054,1054,Partial Basement,Brick Veneer,2.00,4568
88,020032000,1861,FIELD RD,,Single Family,Split-Level Exc,B +,Architectural Shingles,Hardwood,Forced Air,2,1956,11,5,1,5,0,1568,1106,Partial Basement,Brick Veneer,1.0,2380
89,020033000,1862,FIELD RD,,Duplex,1.5 Story,B,Architectural Shingles,Hardwood,Forced Air,1,1953,10,8,0,4,0,1740,1585,Full Basement,Brick Veneer,1.50,2610
90,020034000,1857,WINSTON RD,,Single Family,1 Sty w/ Bsmt,B +,Metal,Hardwood,Forced Air,1,1949,6,2,1,2,0,1272,214,Partial Basement,Wood,1.00,1532
91,020035000,1855,WINSTON RD,,Single Family,1.5 Story,B,Metal,Hardwood,Hot Water Radiator,2,1951,12,8,0,3,0,1216,1216,Full Basement,Brick Veneer,1.90,2310
92,020036000,1851,WINSTON RD,,Single Family-1 Conversion,1.5 Sty (Avg),B,Shingles,Hardwood,Hot Water Radiator,3,1951,9,3,0,3,0,1340,669,Partial Basement,Wood,1.50,2343
93,020037000,1860,FIELD RD,,Single Family-1 Conversion,1.5 Sty (Avg),B +,Shingles,Hardwood,Forced Air,2,1953,9,3,0,4,0,2005,653,Full Basement,Brick Veneer,1.50,2970
94,020038000,1858,FIELD RD,,Single Family,2 Story w/ Bsmt,B +,Architectural Shingles,Hardwood,Radiant,3,1953,9,5,0,4,0,1714,1302,Full Basement,Wood,2.00,2518
95,020039000,1849,WINSTON RD,,Single Family-1 Conversion,1.5 Sty (Avg),B,Shingles,Hardwood,Forced Air,1,1954,6,3,0,4,0,1730,947,Walkout Basement,Brick Veneer,1.50,2595
96,020040000,1847,WINSTON RD,,Single Family,1 Story,C++,Shingles,Hardwood,Forced Air,1,1947,4,2,0,1,0,570,,Partial Basement,Aluminum,1.00,934
97,020041000,1843,WINSTON RD,,Single Family,1.5 Story,B +,Shingles,Hardwood,Forced Air,2,1952,8,4,1,3,0,1130,1000,Partial Basement,Wood,1.50,1565
98,020042000,1856,FIELD RD,,Single Family,Split-Level Exc,B++,Architectural Shingles,Hardwood,Hot Water Radiator,2,1952,7,3,0,3,0,769,769,Walkout Basement,Brick Veneer,1.0,1639
99,020043000,1854,FIELD RD,,Single Family,1 Sty w/ Bsmt,B +,Shingles,Hardwood,Forced Air,1,1953,9,5,0,3,0,1705,1188,Full Basement,Brick Veneer,1.00,1705
100,020044000,919,OLD FARM RD,,Single Family,1 Sty No Bsmt,B +,Shingles,Hardwood,Hot Water Radiator,1,1952,6,3,1,1,0,,,No Basement,Brick Veneer,1.00,2081
101,020045000,913,OLD FARM RD,,Single Family-1 Conversion,1 Story,B -,Shingles,Hardwood,Hot Water Radiator,1,1954,9,4,0,4,0,1807,1424,Full Basement,Wood,1.00,1807
102,020046000,911,OLD FARM RD,,Single Family,1 Story,B +,Architectural Shingles,Hardwood,Forced Air,2,1954,7,3,0,3,0,686,534,Walkout Basement,Brick Veneer,1.00,1944
103,020047000,907,OLD FARM RD,,Single Family,1 Story,B -,Shingles,Hardwood,Forced Air,2,1960,8,5,0,3,0,2164,960,Full Basement,Brick Veneer,1.00,2234
104,020048000,1839,WINSTON RD,,Single Family,1.5 Sty (Avg),B +,Architectural Shingles,Hardwood,Forced Air,2,1954,10,4,0,3,0,1408,322,Walkout Basement,Brick Veneer,1.66,2459
105,020049000,1825,WINSTON RD,,Single Family,1 Sty Excellent,B +,Shingles,Hardwood,Hot Water Radiator,2,1952,7,3,0,2,0,,,No Basement,Brick Veneer,1.00,2535
106,020050000,910,OLD FARM RD,,Single Family,2 Story,A,Architectural Shingles,Hardwood,Heat Pump,1,1954,10,4,0,3,0,,,No Basement,Brick Veneer,2.0,3887
107,020050100,906,OLD FARM RD,,Single Family,1 Sty Transitional,B,Shingles,Hardwood,Forced Air,1,1955,9,4,0,3,0,,,No Basement,Brick Veneer,1.66,2790
108,020051000,912,OLD FARM RD,,Single Family,1 Sty (Avg),B++,Architectural Shingles,Hardwood,Forced Air,3,1951,8,3,1,2,0,,,No Basement,Brick Veneer,1.00,2590
109,020052000,916,OLD FARM RD,,Single Family,1 Story,B,Metal,Hardwood,Forced Air,1,1954,8,4,0,2,0,,,No Basement,Wood,1.00,2044
110,020052000,916,OLD FARM RD,,Single Family,1.5 Story,B,Metal,None,Heat Pump,0,1980,4,1,0,1,0,,,No Basement,Wood,1.5,1176
111,020053000,1832,WESTVIEW RD,,Single Family,1.5 Story,B -,Shingles,Hardwood,Heat Pump,3,1959,6,3,0,3,0,520,,Partial Basement,Wood,1.50,2659
112,020054000,1823,WINSTON RD,,Single Family,1.5 Story,B,Shingles,Hardwood,Heat Pump,0,1981,5,3,0,2,0,,,No Basement,Stucco,1.50,1364
113,020054100,1821,WINSTON RD,,Single Family,1 Sty w/ Bsmt,B++,Architectural Shingles,Hardwood,Heat Pump,2,1968,8,4,1,3,0,1362,1362,Partial Basement,Hardy Board,1.00,1934
114,020054200,905,COTTAGE LN,,Single Family,1.5 Sty Excellent,B,Metal,Hardwood,Heat Pump,1,1979,7,3,1,3,0,1164,589,Walkout Basement,Wood,1.75,2122
115,020054300,907,COTTAGE LN,,Single Family,2 Story,B +,Copper,Hardwood,Heat Pump,1,1890,7,3,1,3,0,399,,Partial Basement,Wood,2.00,3129
116,020054400,909,COTTAGE LN,,Single Family,2 Sty No Bsmt,B,Shingles,Hardwood,Forced Air,1,1870,5,0,0,1,0,,,No Basement,Wood,2.00,1624
117,020054500,911,COTTAGE LN,,Single Family,2 Story w/ Bsmt,B++,Metal,Hardwood,Heat Pump,1,2010,8,4,1,4,0,1632,1632,Partial Basement,Hardy Board,2.00,3480
118,020054600,915,COTTAGE LN,,Single Family,1.5 Sty Excellent,B +,Architectural Shingles,Hardwood,Forced Air,1,1975,8,3,1,3,0,782,500,Partial Basement,Wood,1.50,1803
119,020055100,904,COTTAGE LN,,Single Family,1 Story,B -,Shingles,Hardwood,Forced Air,0,1973,8,4,0,3,0,,,No Basement,Wood,1.00,2343
120,020055101,1828,WESTVIEW RD,,Single Family,2 Sty Excellent,B -,Metal,Hardwood,Forced Air,2,1975,9,4,1,2,0,986,326,Full Basement,Hardy Board,2.00,1972
121,020055110,910,COTTAGE LN,,Single Family-2 Conversion,2 Story w/ Bsmt,B -,Shingles,Hardwood,Forced Air,1,1930,8,4,0,3,0,468,,Partial Basement,Wood,2.00,2126
122,020055200,1815,WINSTON RD,,Single Family,1 Story,B++,Architectural Shingles,Hardwood,Hot Water Radiator,1,1967,8,3,0,3,0,1734,1200,Full Basement,Brick Veneer,1.00,1734
123,020055300,901,ROSSER LN,,Single Family,Split-Foyer Exc,B -,Shingles,Hardwood,Forced Air,2,1975,9,5,0,3,0,1512,756,Walkout Basement,Brick Veneer,1.00,1512
124,020055400,905,ROSSER LN,,Single Family,Split-Foyer Exc,B -,Architectural Shingles,Hardwood,Forced Air,2,1975,8,4,0,3,0,1512,1512,Walkout Basement,Brick Veneer,1.00,1902
125,020055500,907,ROSSER LN,,Single Family,Split-Foyer Exc,B++,Architectural Shingles,Hardwood,Forced Air,2,1975,9,4,0,3,0,1512,970,Walkout Basement,Brick Veneer,1.00,1512
126,020055600,909,ROSSER LN,,Single Family,Split-Foyer Exc,B -,Architectural Shingles,Hardwood,Forced Air,2,1975,8,4,0,3,0,1512,756,Walkout Basement,Brick Veneer,1.00,1512
127,020055700,1820,WESTVIEW RD,,Vacant Land,,,,,,,,,,,,,0,0,,,,
128,020055800,1822,WESTVIEW RD,,Single Family,2 Story,A -,Architectural Shingles,Hardwood,Hot Water Radiator,3,1967,12,4,0,4,0,1804,869,Partial Basement,Wood,2.00,3542
129,020055900,1824,WESTVIEW RD,,Vacant Land,,,,,,,,,,,,,0,0,,,,
130,020056000,900,ROSSER LN,,Single Family,1 Story,B,Shingles,Hardwood,Hot Water Radiator,1,1951,6,2,0,3,0,,,No Basement,Brick Veneer,1.00,3336
131,020057000,902,ROSSER LN,,Single Family,2 Sty No Bsmt,B +,Slate,Hardwood,Hot Water Radiator,1,1948,7,3,1,2,0,,,No Basement,Brick Veneer,2.00,2426
132,020058000,908,ROSSER LN,,Single Family,1 Story,C +,Shingles,Hardwood,Forced Air,1,1951,6,3,0,1,1,1282,284,Full Basement,Wood,1.00,1282
133,020059000,912,ROSSER LN,,Single Family,1.5 Story,B,Shingles,Hardwood,Forced Air,1,1952,6,3,1,2,0,858,337,Full Basement,Asbestos,1.50,1424
134,020060000,918,ROSSER LN,,Single Family-1 Conversion,1.5 Story,B +,Architectural Shingles,Hardwood,Heat Pump,1,1955,8,3,0,3,0,1306,900,Partial Basement,Brick Veneer,1.50,2656
135,020061000,920,ROSSER LN,,Single Family-1 Conversion,1.5 Sty (Avg),B++,Architectural Shingles,Hardwood,Hot Water Radiator,2,1952,13,5,0,4,1,2217,1577,Full Basement,Brick Veneer,1.66,3096
136,020062000,924,ROSSER LN,,Single Family,1 Story,B++,Shingles,Hardwood,Forced Air,1,1952,10,3,0,3,1,1535,763,Partial Basement,Brick Veneer,1.00,2137
137,020063000,928,ROSSER LN,,Single Family,1.5 Sty (Avg),B++,Architectural Shingles,Hardwood,Forced Air,2,1953,9,4,0,3,2,1579,,Partial Basement,Hardy Board,1.66,3259
138,020064000,932,ROSSER LN,,Single Family,1.5 Story,B,Metal,Hardwood,Heat Pump,1,1953,7,3,0,3,0,775,,Partial Basement,Brick Veneer,1.50,2241
139,020065000,938,ROSSER LN,,Single Family,1 Story,B++,Architectural Shingles,Hardwood,Hot Water Radiator,3,1952,13,4,1,3,0,1164,479,Partial Basement,Brick Veneer,1.00,2708
140,020066000,942,ROSSER LN,,Single Family,1 Sty Excellent,B++,Metal,Hardwood,Hot Water Radiator,1,1952,8,3,0,2,0,,,No Basement,Hardy Board,1.00,1949
141,020068000,1007,RUGBY RD,,Single Family,1.5 Sty Superior,A +,Slate,Hardwood,Hot Water Radiator,5,1928,11,5,1,4,2,1810,800,Partial Basement,Brick/Masonry,1.50,4453
142,020068100,935,RUGBY RD,,Vacant Land,,,,,,,,,,,,,0,0,,,,
143,020069000,933,RUGBY RD,,Single Family,2 Sty Superior,A++,Slate,Hardwood,Hot Water Radiator,4,1930,8,4,1,4,0,461,,Partial Basement,Brick/Masonry,2.00,4395
144,020070000,929,RUGBY RD,,Single Family-1 Conversion,2 Sty Excellent,A -,Slate,Hardwood,Hot Water Radiator,5,1929,11,4,1,3,0,808,100,Partial Basement,Brick/Masonry,2.25,4480
145,020070000,929,RUGBY RD,,Single Family-1 Conversion,2 Sty Excellent,A -,Slate,Hardwood,Hot Water Radiator,5,1929,11,4,1,3,0,808,100,Partial Basement,Brick/Masonry,2.25,4480
146,020070000,929,RUGBY RD,,Single Family-1 Conversion,1 Story,B -,Shingles,Hardwood,Hot Water Radiator,1,1945,2,1,0,0,0,396,,Partial Basement,Brick/Masonry,1.00,792
147,020070000,929,RUGBY RD,,Single Family-1 Conversion,1 Story,B -,Shingles,Hardwood,Hot Water Radiator,1,1945,2,1,0,0,0,396,,Partial Basement,Brick/Masonry,1.00,792
148,020071000,925,RUGBY RD,,Vacant Land,,,,,,,,,,,,,0,0,,,,
149,020072000,921,RUGBY RD,,Single Family,2.5 Story,B++,Shingles,Hardwood,Hot Water Radiator,1,1930,7,4,1,2,0,1204,,Partial Basement,Brick Veneer,2.5,2438
150,020073000,919,RUGBY RD,,Single Family,2 Sty Excellent,B++,Slate,Hardwood,Hot Water Radiator,1,1930,8,4,1,2,0,390,,Partial Basement,Brick Veneer,2.00,2400
